"","x"
"115","TYPE_OF_DIVERSION_FACILITY"
"116","QUANTITY_OF_WATER_DIVERTED"
"117","QOW_DIVERTED_UNIT"
"118","QUANTITY_MEASUREMENT_YEAR"
"119","MAX_RATE_OF_DIVERSION"
"120","MAX_RATE_OF_DIV_UNIT"
"121","RECENT_WATER_USE_MIN"
"122","WATER_USE_MIN_UNIT"
"123","RECENT_WATER_USE_MAX"
"124","WATER_USE_MAX_UNIT"
"125","REQUEST_FOR_REVOCATION_RECD"
"126","NUM_COMMENTS"
"127","NUM_ATTACHMENTS"
"128","LAST_UPDATE_DATE"
"129","RELATIONSHIP_TYPE"
"130","PARTY_ID"
"131","EFFECTIVE_FROM_DATE"
"132","EFFECTIVE_TO_DATE"
"133","LAST_NAME_OR_COMPANY_NAME"
"134","MIDDLE_NAME"
"135","FIRST_NAME"
"136","PRIMARY_OWNER_NAME"
"137","PRIMARY_OWNER_ENTITY_TYPE_P"
"138","OFFICIAL_MAIL_RECEIVER"
"139","COUNT_NPO_OR_OTHER"
"140","CURRENT_STATUS"
"141","EFFECTIVE_DATE"
"142","UPDATE_DATETIME"
"143","POD_NUMBER"
"144","POD_ID"
"145","POD_STATUS"
"146","SOURCE_TYPE"
"147","POD_NAME"
"148","POD_TYPE"
"149","DIVERSION_WORKS_STATUS"
"150","STREAM_CLASSIFICATION"
"151","DIRECT_DIV_AMOUNT"
"152","DIRECT_DIVERSION_RATE"
"153","DIRECT_DIV_RATE_UNIT"
"154","STORAGE_AMOUNT"
"155","DIVERSION_RATE_TO_OFF_STREAM"
"156","OFF_STO_DIV_RATE_UNIT"
"157","POD_LAST_UPDATE_DATE"
"158","POD_COUNT"
"159","APPL_ID"
"160","OBJECTID"
"161","POD_NUMBER_GIS"
"162","HAS_OPOD"
"163","APPL_POD"
"164","POD_ID_GIS"
"165","COUNTY"
"166","PARCEL_NUMBER"
"167","SP_ZONE"
"168","DIVERSION_SITE_NAME"
"169","NORTH_COORD"
"170","EAST_COORD"
"171","LATITUDE"
"172","LONGITUDE"
"173","QUARTER_QUARTER"
"174","QUARTER"
"175","SECTION_CLASSIFIER"
"176","SECTION_NUMBER"
"177","TOWNSHIP_NUMBER"
"178","TOWNSHIP_DIRECTION"
"179","RANGE_NUMBER"
"180","RANGE_DIRECTION"
"181","MERIDIAN"
"182","LOCATION_METHOD"
"183","SPECIAL_USE_AREA"
"184","SOURCE_NAME"
"185","TRIB_DESC"
"186","WATERSHED"
"187","HUC_12_NUMBER"
"188","HUC_12_NAME"
"189","HUC_8_NUMBER"
"190","HUC_8_NAME"
"191","QUAD_MAP_NAME"
"192","QUAD_MAP_NUMBER"
