"","x"
"144","DIVERSION_UNDER_PRIOR_RIGHTS"
"145","AMOUNT_SOLELY_UNDER_CONTRACT"
"146","MEASURMENT_REQUIRED"
"147","IS_DIVERSION_MEASURED"
"148","ALTERNATIVE_COMPL_PLAN_DATE"
"149","ADDITIONAL_TIME_REQUEST_DATE"
"150","NUM_OF_DEVICE"
"151","MEASURING_DEVICE_ID"
"152","TYPE_OF_DEVICE_METHOD"
"153","DEVICE_MAKE"
"154","DEVICE_SERIAL_NUMBER"
"155","DEVICE_MODEL_NUMBER"
"156","UNITS_OF_MEASUREMENT"
"157","FREQUENCY_DATA_RECORDING"
"158","ADDITIONAL_INFO"
"159","TELEMETRY_REQUIRED"
"160","TELEMETRY_WEBSITE"
"161","ATTACHED_DOCUMENT"
"162","STORAGE"
"163","NAME_1"
"164","SPILLED_THIS_YEAR_1"
"165","FEET_BELOW_AT_MAX_1"
"166","COMPLETELY_EMPTY_1"
"167","FEET_BELOW_AT_MIN_1"
"168","MEASURE_METHOD_1"
"169","NAME_2"
"170","SPILLED_THIS_YEAR_2"
"171","FEET_BELOW_AT_MAX_2"
"172","COMPLETELY_EMPTY_2"
"173","FEET_BELOW_AT_MIN_2"
"174","MEASURE_METHOD_2"
"175","NUMBER_OF_RESERVOIR"
"176","WATER_CONSERVATION"
"177","WATER_CONSERVE_DESC"
"178","CONSERVATION_AMOUNT"
"179","CONSERVATION_AMOUNT_UNIT"
"180","RECLAMATION_WATER"
"181","RECLAMATION_AMOUNT"
"182","RECLAMATION_AMOUNT_UNIT"
"183","CONJUNCTIVE_USE"
"184","CONJUNCTIVE_AMOUNT"
"185","CONJUNCTIVE_AMOUNT_UNIT"
"186","ADDITIONAL_REMARKS"
"187","NUM_OF_ATTACHMENT"
"188","FIRST_NAME"
"189","LAST_NAME"
"190","RELATION_TO_WR"
"191","SUBMITTER_ADDRESS"
"192","PHONE_NUMBER"
"193","EMAIL"
"194","SIGNATURE_NAME"
"195","DATE_OF_SIGNATURE"
"196","RECORDATION_NUMBER"
"197","NUMBER_OF_PODS"
"198","WELL_LOCATION"
"199","LOCAL_AGENCY"
"200","GROUNDWATER_EXTRACTION"
"201","SURFACE_DIVERSION"
"202","OWNER_OF_RECORD"
"203","AMOUNT_EXTRACTED_YEAR"
"204","AMOUNT_EXTRACTED_YEAR_UNIT"
"205","WATER_RIGHT_ID"
